accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.7302857041358948,0.8020543456077576,0.5331976413726807,0.7621991038322449,0.6694285869598389,0.5,0.5483084917068481,1.105828881263733,0.0,0.0,0.0010000000474974513
0.7919999957084656,0.8555868864059448,0.4515995681285858,0.8482112288475037,0.7112857103347778,0.5,0.6284207105636597,1.4932154417037964,0.0,0.0,0.0010000000474974513
0.8119999766349792,0.877688467502594,0.4178662896156311,0.8706721067428589,0.7328571677207947,0.5056666731834412,0.8197957277297974,1.419618010520935,1.0,0.01133333332836628,0.0010000000474974513
0.8326428532600403,0.8987118601799011,0.38334351778030396,0.8884069919586182,0.7608571648597717,0.6003333330154419,0.8717264533042908,1.0368223190307617,0.9966996908187866,0.20133332908153534,0.0005000000237487257
0.840571403503418,0.9051024913787842,0.3743346333503723,0.8881471753120422,0.779285728931427,0.7786666750907898,0.8866937756538391,0.4924256205558777,0.9593406319618225,0.5820000171661377,0.0005000000237487257
0.8512142896652222,0.9135619401931763,0.3556092083454132,0.899691104888916,0.7905714511871338,0.7613333463668823,0.8908998370170593,0.5459200739860535,0.9863523840904236,0.5299999713897705,0.0005000000237487257
0.8539999723434448,0.9177986979484558,0.34866243600845337,0.8973701000213623,0.7994285821914673,0.8236666917800903,0.9069135189056396,0.3842501938343048,0.8874700665473938,0.7413333058357239,0.0005000000237487257
0.8573571443557739,0.9225006103515625,0.3403431177139282,0.9032726287841797,0.800428569316864,0.734000027179718,0.8899633288383484,0.5775233507156372,0.973045825958252,0.48133334517478943,0.0005000000237487257
0.8648571372032166,0.9233763217926025,0.33429858088493347,0.9098202586174011,0.8100000023841858,0.7146666646003723,0.9027753472328186,0.6405739188194275,0.9864048361778259,0.43533334136009216,0.0005000000237487257
0.8712857365608215,0.9343971610069275,0.3156593143939972,0.9096784591674805,0.8244285583496094,0.856333315372467,0.9410762786865234,0.3258393704891205,0.9510548710823059,0.7513333559036255,0.0002500000118743628
0.8715000152587891,0.9355376958847046,0.312045156955719,0.9095920324325562,0.824999988079071,0.7776666879653931,0.9186728596687317,0.5178142786026001,0.9727582335472107,0.5713333487510681,0.0002500000118743628
0.8772143125534058,0.9365268349647522,0.30902931094169617,0.9154996275901794,0.8311428427696228,0.8059999942779541,0.9273290634155273,0.446895956993103,0.9722222089767456,0.6299999952316284,0.0002500000118743628
0.8802857398986816,0.9419758319854736,0.2983015477657318,0.9138681888580322,0.8397142887115479,0.871999979019165,0.9464948773384094,0.30198654532432556,0.9407582879066467,0.7940000295639038,0.0001250000059371814
0.8794285655021667,0.9408909678459167,0.2995871603488922,0.9131922721862793,0.8385714292526245,0.875,0.949893593788147,0.2966805100440979,0.9518072009086609,0.7900000214576721,0.0001250000059371814
0.8827142715454102,0.9451211094856262,0.2913050949573517,0.9176800847053528,0.8408571481704712,0.8846666812896729,0.9500442147254944,0.28239572048187256,0.9115549325942993,0.8519999980926514,0.0001250000059371814
0.8816428780555725,0.9428176879882812,0.2968301475048065,0.91169673204422,0.8451428413391113,0.8383333086967468,0.9444634914398193,0.36962029337882996,0.9703429341316223,0.6980000138282776,0.0001250000059371814
0.8798571228981018,0.9432583451271057,0.29490983486175537,0.9108467102050781,0.8421428799629211,0.8679999709129333,0.9465644359588623,0.3089902400970459,0.9487804770469666,0.777999997138977,0.0001250000059371814
0.8852142691612244,0.9460824131965637,0.2876414358615875,0.9177381992340088,0.8462857007980347,0.8673333525657654,0.9493666291236877,0.30034592747688293,0.942215085029602,0.7826666831970215,6.25000029685907e-05
0.885357141494751,0.9468324780464172,0.2854037284851074,0.9141716361045837,0.8505714535713196,0.8556666374206543,0.9493253231048584,0.32580551505088806,0.9555935263633728,0.7459999918937683,6.25000029685907e-05
0.8907142877578735,0.9496532082557678,0.27818089723587036,0.9206398129463196,0.8551428318023682,0.8883333206176758,0.9541400671005249,0.2729041874408722,0.9330855011940002,0.8366666436195374,3.125000148429535e-05
0.8889999985694885,0.950814425945282,0.2774847447872162,0.914712131023407,0.8579999804496765,0.8726666569709778,0.9498217701911926,0.2984428405761719,0.9493569135665894,0.7873333096504211,3.125000148429535e-05
0.8884285688400269,0.9504834413528442,0.27734553813934326,0.921028196811676,0.8497142791748047,0.8846666812896729,0.9541702270507812,0.27370506525039673,0.9338346123695374,0.828000009059906,3.125000148429535e-05
0.8903571367263794,0.950059175491333,0.2772483229637146,0.9157158136367798,0.8598571419715881,0.8799999952316284,0.9530819654464722,0.2854361832141876,0.9460093975067139,0.8059999942779541,1.5625000742147677e-05
0.8896428346633911,0.9514772295951843,0.2749641239643097,0.9191640019416809,0.8544285893440247,0.8740000128746033,0.9530077576637268,0.2914504110813141,0.950964629650116,0.7886666655540466,1.5625000742147677e-05
0.8931428790092468,0.9523646235466003,0.27240803837776184,0.9206664562225342,0.8604285717010498,0.8846666812896729,0.9543789029121399,0.27745142579078674,0.9431643486022949,0.8186666369438171,7.812500371073838e-06
0.8918571472167969,0.9522782564163208,0.27366361021995544,0.9203187227249146,0.8579999804496765,0.8896666765213013,0.9543312788009644,0.27033719420433044,0.9300956726074219,0.8426666855812073,7.812500371073838e-06
0.890999972820282,0.9514017701148987,0.2736087739467621,0.921206533908844,0.8551428318023682,0.8846666812896729,0.9545495510101318,0.27604007720947266,0.9404579997062683,0.8213333487510681,7.812500371073838e-06
