,precision,recall,f1-score,support
Normal,0.7680355160932297,0.9226666666666666,0.8382798304058147,1500.0
Anomaly Detected,0.9031719532554258,0.7213333333333334,0.8020756115641215,1500.0
accuracy,0.822,0.822,0.822,0.822
macro avg,0.8356037346743277,0.8220000000000001,0.8201777209849681,3000.0
weighted avg,0.8356037346743278,0.822,0.8201777209849682,3000.0
