accuracy,loss,val_accuracy,val_loss,learning_rate
0.1971428543329239,2.244187831878662,0.164000004529953,2.411086320877075,0.0010000000474974513
0.29571428894996643,1.9504954814910889,0.06133333221077919,3.1214892864227295,0.0010000000474974513
0.3451428711414337,1.7912415266036987,0.17133332788944244,2.6378376483917236,0.0010000000474974513
0.37057143449783325,1.6629964113235474,0.21933333575725555,2.425917387008667,0.0005000000237487257
0.40700000524520874,1.5797388553619385,0.27000001072883606,2.2069103717803955,0.0005000000237487257
0.42657142877578735,1.5359917879104614,0.3893333375453949,1.7470594644546509,0.0005000000237487257
0.451285719871521,1.4845162630081177,0.3919999897480011,1.9295490980148315,0.0005000000237487257
0.46314287185668945,1.445464015007019,0.4166666567325592,1.6628133058547974,0.0005000000237487257
0.4787142872810364,1.4214173555374146,0.25733333826065063,2.263550281524658,0.0005000000237487257
0.4901428520679474,1.3798081874847412,0.492000013589859,1.4005368947982788,0.0005000000237487257
0.49085715413093567,1.3458504676818848,0.5320000052452087,1.3133677244186401,0.0005000000237487257
0.5014285445213318,1.3212387561798096,0.36266666650772095,1.8701204061508179,0.0005000000237487257
0.5094285607337952,1.3035228252410889,0.4606666564941406,1.4821193218231201,0.0005000000237487257
0.5339999794960022,1.2515969276428223,0.4633333384990692,1.510009765625,0.0002500000118743628
0.5365714430809021,1.2471041679382324,0.49000000953674316,1.418515920639038,0.0002500000118743628
0.5472857356071472,1.198164939880371,0.5619999766349792,1.2272601127624512,0.0001250000059371814
0.5492857098579407,1.1917510032653809,0.5799999833106995,1.213023066520691,0.0001250000059371814
0.5488571524620056,1.1896929740905762,0.5899999737739563,1.1472151279449463,0.0001250000059371814
0.5475714206695557,1.181841254234314,0.5833333134651184,1.1927114725112915,0.0001250000059371814
0.5552856922149658,1.1691840887069702,0.5920000076293945,1.1962089538574219,0.0001250000059371814
0.5617142915725708,1.1573946475982666,0.5960000157356262,1.1512541770935059,6.25000029685907e-05
0.5590000152587891,1.1592748165130615,0.6006666421890259,1.1381616592407227,6.25000029685907e-05
0.5651428699493408,1.1374132633209229,0.5953333377838135,1.1476190090179443,6.25000029685907e-05
0.5615714192390442,1.151776909828186,0.5680000185966492,1.2032015323638916,6.25000029685907e-05
0.566428542137146,1.1259877681732178,0.6006666421890259,1.1309574842453003,3.125000148429535e-05
0.5731428861618042,1.1227034330368042,0.5993333458900452,1.1320122480392456,3.125000148429535e-05
0.5675714015960693,1.131697177886963,0.612666666507721,1.1120697259902954,3.125000148429535e-05
0.5725714564323425,1.1182559728622437,0.6100000143051147,1.1137135028839111,3.125000148429535e-05
0.5705714225769043,1.1288906335830688,0.5960000157356262,1.1234139204025269,3.125000148429535e-05
0.5671428442001343,1.1248245239257812,0.6179999709129333,1.1025667190551758,1.5625000742147677e-05
0.5741428732872009,1.125424861907959,0.612666666507721,1.1022082567214966,1.5625000742147677e-05
0.5735714435577393,1.114981770515442,0.6100000143051147,1.1113660335540771,1.5625000742147677e-05
0.5722857117652893,1.124334692955017,0.6113333106040955,1.1035083532333374,1.5625000742147677e-05
0.572857141494751,1.11903977394104,0.6119999885559082,1.1018180847167969,7.812500371073838e-06
0.5690000057220459,1.1244398355484009,0.6113333106040955,1.1025506258010864,7.812500371073838e-06
