Experiment,Threshold,Accuracy,Precision,Recall,F1_Score,ROC_AUC,False_Negatives,False_Positives
Binary CNN Baseline,0.5,0.822,0.9031719532554258,0.7213333333333334,0.8020756115641215,0.90748,418,116
Improved Binary CNN — Threshold 0.50,0.5,0.8943333333333333,0.9404318689501117,0.842,0.888498065423848,0.9556479999999999,237,80
Improved Binary CNN — Validation F2 Threshold,0.16303743422031403,0.8616666666666667,0.8144927536231884,0.9366666666666666,0.8713178294573644,0.9556479999999999,95,320
