accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.5451428294181824,0.5818074345588684,0.6858154535293579,0.5298733115196228,0.8007143139839172,0.5863333344459534,0.648094654083252,0.6761148571968079,0.5541161894798279,0.8840000033378601,0.0010000000474974513
0.6075000166893005,0.6417281627655029,0.6636592745780945,0.5987403392791748,0.6518571376800537,0.6116666793823242,0.6822963953018188,0.6568219661712646,0.5757575631141663,0.8486666679382324,0.0010000000474974513
0.6467142701148987,0.6998032331466675,0.631426215171814,0.6470082998275757,0.645714282989502,0.668666660785675,0.7519033551216125,0.6105072498321533,0.6301440596580505,0.8166666626930237,0.0010000000474974513
0.6853571534156799,0.7484710812568665,0.594979465007782,0.6970986127853394,0.6555714011192322,0.6546666622161865,0.7809295654296875,0.6316315531730652,0.6052631735801697,0.8893333077430725,0.0010000000474974513
0.7099999785423279,0.7764854431152344,0.5661432147026062,0.7253909707069397,0.6758571267127991,0.7213333249092102,0.8046257495880127,0.5469112396240234,0.7082810401916504,0.7526666522026062,0.0010000000474974513
0.727642834186554,0.7913100123405457,0.5489416718482971,0.7587270736694336,0.6675714254379272,0.7406666874885559,0.8166484236717224,0.5226972103118896,0.7538678050041199,0.7146666646003723,0.0010000000474974513
0.7365000247955322,0.8062535524368286,0.5316306352615356,0.7662003636360168,0.6807143092155457,0.7476666569709778,0.8262733221054077,0.5220133066177368,0.8462255597114563,0.6053333282470703,0.0010000000474974513
0.7497143149375916,0.8191196322441101,0.5166032910346985,0.7853411436080933,0.6872857213020325,0.7763333320617676,0.8482367992401123,0.48832523822784424,0.864555835723877,0.6553333401679993,0.0010000000474974513
0.7618571519851685,0.8332078456878662,0.49677664041519165,0.7970826625823975,0.702571451663971,0.7789999842643738,0.8535657525062561,0.47808611392974854,0.8573868274688721,0.6693333387374878,0.0010000000474974513
0.7697857022285461,0.8399275541305542,0.4863439202308655,0.8137564659118652,0.6997143030166626,0.7856666445732117,0.8584550619125366,0.4714457094669342,0.801548182964325,0.7593333125114441,0.0010000000474974513
0.786142885684967,0.8549244999885559,0.466517835855484,0.8312934041023254,0.7179999947547913,0.7879999876022339,0.8714438080787659,0.454331636428833,0.9014869928359985,0.6466666460037231,0.0010000000474974513
0.7919999957084656,0.8595728874206543,0.458799809217453,0.8348624110221863,0.7279999852180481,0.8019999861717224,0.877103328704834,0.43699756264686584,0.8871794939041138,0.6919999718666077,0.0010000000474974513
0.7954285740852356,0.8650499582290649,0.4500609040260315,0.8377981185913086,0.7327142953872681,0.7986666560173035,0.8804657459259033,0.43258458375930786,0.8783783912658691,0.6933333277702332,0.0010000000474974513
0.791357159614563,0.8638682961463928,0.4509764313697815,0.835058331489563,0.7261428833007812,0.8009999990463257,0.8736730813980103,0.4370397925376892,0.8312546014785767,0.7553333044052124,0.0010000000474974513
0.8047857284545898,0.8727664947509766,0.4356793165206909,0.8520046472549438,0.7377142906188965,0.7919999957084656,0.8854955434799194,0.4382189214229584,0.927734375,0.6333333253860474,0.0010000000474974513
0.8178571462631226,0.8857359886169434,0.4175875186920166,0.8687437772750854,0.7488571405410767,0.8006666898727417,0.8924701809883118,0.4285031855106354,0.9085144996643066,0.668666660785675,0.0005000000237487257
0.8209999799728394,0.8864752054214478,0.41532453894615173,0.8672769069671631,0.7580000162124634,0.8023333549499512,0.894681990146637,0.4146072566509247,0.9081908464431763,0.6726666688919067,0.0005000000237487257
0.8254285454750061,0.8909496068954468,0.4066627621650696,0.8734426498413086,0.7611428499221802,0.8163333535194397,0.8922191262245178,0.4040406048297882,0.8681148290634155,0.7459999918937683,0.0005000000237487257
0.8240000009536743,0.8912728428840637,0.40597105026245117,0.8699836730957031,0.7618571519851685,0.8209999799728394,0.8991871476173401,0.39891496300697327,0.8924205303192139,0.7300000190734863,0.0005000000237487257
0.8215000033378601,0.8910519480705261,0.40458378195762634,0.8700871467590332,0.7558571696281433,0.8173333406448364,0.8968387246131897,0.4050954282283783,0.9082332849502563,0.7059999704360962,0.0005000000237487257
0.8221428394317627,0.8912121653556824,0.4034276604652405,0.869914710521698,0.7575713992118835,0.8190000057220459,0.9027404189109802,0.400002121925354,0.9086251258850098,0.7093333601951599,0.0005000000237487257
0.8282856941223145,0.8980612754821777,0.39410242438316345,0.8764744400978088,0.7642857432365417,0.8276666402816772,0.9055861830711365,0.3887655735015869,0.8992688655853271,0.7379999756813049,0.0002500000118743628
0.8307856917381287,0.9009050130844116,0.3885250687599182,0.8792792558670044,0.7668571472167969,0.8299999833106995,0.9056500196456909,0.3881273865699768,0.8592162728309631,0.7893333435058594,0.0002500000118743628
0.8342142701148987,0.9020664095878601,0.38552364706993103,0.8832104802131653,0.7702857255935669,0.8293333053588867,0.9057744741439819,0.3859838843345642,0.8805854916572571,0.7620000243186951,0.0002500000118743628
0.830214262008667,0.8998475670814514,0.3887175917625427,0.8740896582603455,0.7715714573860168,0.8230000138282776,0.9087740182876587,0.3889255225658417,0.9144567847251892,0.7126666903495789,0.0002500000118743628
